,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,1.62,1.62,2016-10-12,1.64,1.50,1.505,VMRI,430300
1,1.48,1.48,2016-10-11,1.52,1.40,1.455,VMRI,355500
2,1.40,1.40,2016-10-10,1.49,1.335,1.335,VMRI,308100
3,1.34,1.34,2016-10-07,1.52,1.22,1.51,VMRI,468100
4,1.51,1.51,2016-10-06,1.65,1.49,1.585,VMRI,967600
5,1.50,1.50,2016-10-05,1.69,1.29,1.295,VMRI,1018100
6,1.29,1.29,2016-10-04,1.301,1.16,1.16,VMRI,497200
7,1.15,1.15,2016-10-03,1.20,1.07,1.085,VMRI,450900
8,1.08,1.08,2016-09-30,1.10,1.06,1.07,VMRI,119700
9,1.07,1.07,2016-09-29,1.07,1.05,1.065,VMRI,137100
10,1.07,1.07,2016-09-28,1.07,1.01,1.055,VMRI,109900
11,1.04,1.04,2016-09-27,1.10,1.02,1.10,VMRI,73100
12,1.08,1.08,2016-09-26,1.14,1.06,1.09,VMRI,130100
13,1.09,1.09,2016-09-23,1.18,1.00,1.165,VMRI,216000
14,1.10,1.10,2016-09-22,1.20,1.02,1.12,VMRI,375000
15,1.13,1.13,2016-09-21,1.17,1.12,1.135,VMRI,281400
16,1.1201,1.1201,2016-09-20,1.15,1.07,1.08,VMRI,170100
17,1.07,1.07,2016-09-19,1.07,1.03,1.03,VMRI,128400
18,1.03,1.03,2016-09-16,1.06,0.98,1.015,VMRI,210900
19,1.038,1.038,2016-09-15,1.06,0.96,1.02,VMRI,323700
20,0.93,0.93,2016-09-14,0.96,0.9051,0.91755,VMRI,83800
21,0.905,0.905,2016-09-13,0.945,0.865,0.945,VMRI,309300
22,0.94,0.94,2016-09-12,0.975,0.93,0.9545,VMRI,147900
23,0.96,0.96,2016-09-09,1.02,0.95,0.98,VMRI,172700
24,0.99,0.99,2016-09-08,1.05,0.97,0.985,VMRI,136500
25,1.02,1.02,2016-09-07,1.065,1.00,1.03,VMRI,123300
26,1.03,1.03,2016-09-06,1.09,0.98,1.02,VMRI,115900
27,1.04,1.04,2016-09-05,1.04,1.04,1.04,VMRI,000
28,1.04,1.04,2016-09-02,1.06,0.96,1.03,VMRI,189800
29,1.05,1.05,2016-09-01,1.19,0.97,1.17,VMRI,217200
30,1.16,1.16,2016-08-31,1.20,1.094,1.19,VMRI,86600
31,1.13,1.13,2016-08-30,1.19,1.05,1.07,VMRI,248200
